"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abandoned Campground","dsk","Near Mint","English","","","2025-10-31 00:04:22.353000","255","False","False",""
"2","2","Abrade","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","327","False","False",""
"1","1","Abrade","fdn","Near Mint","English","","","2025-11-06 20:15:37.260000","188","False","False",""
"1","1","Absolving Lammasu","mkm","Near Mint","English","foil","","2025-10-25 22:12:46.673000","2","False","False",""
"1","1","Abzan Ascendancy","ktk","Near Mint","English","","","2025-10-31 03:06:23.057000","160","False","False",""
"1","1","Abzan Monument","tdm","Near Mint","English","","","2025-10-15 19:22:37.347000","238","False","False",""
"4","4","Acrobatic Cheerleader","dsk","Near Mint","English","","","2025-10-30 23:58:45.550000","1","False","False",""
"1","1","Adamant Will","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","488","False","False",""
"1","1","Adaptive Automaton","fdn","Near Mint","English","foil","","2025-10-19 21:44:49.157000","723","False","False",""
"1","1","Adaptive Sporesinger","one","Near Mint","English","","","2025-11-07 19:37:01.943000","157","False","False",""
"3","3","Aegis Turtle","fdn","Near Mint","English","","","2025-11-06 16:57:11.963000","150","False","False",""
"1","1","Aethergeode Miner","aer","Near Mint","English","","","2025-10-31 03:11:58.593000","4","False","False",""
"1","1","Aetherize","fdn","Near Mint","English","","","2025-11-06 16:53:35.133000","151","False","False",""
"1","1","Affectionate Indrik","fdn","Near Mint","English","","","2025-11-06 20:29:43.383000","211","False","False",""
"2","2","Agate Assault","blb","Near Mint","English","","","2025-10-29 01:08:57.730000","122","False","False",""
"1","1","Agate-Blade Assassin","blb","Near Mint","English","","","2025-10-29 01:11:44.803000","82","False","False",""
"1","1","Agatha's Champion","woe","Near Mint","English","","","2025-10-30 23:49:11.007000","160","False","False",""
"1","1","Agency Coroner","mkm","Near Mint","English","","","2025-10-25 22:06:13.463000","75","False","False",""
"1","1","Agency Outfitter","mkm","Near Mint","English","","","2025-10-25 22:14:31.383000","38","False","False",""
"1","1","Aggressive Mammoth","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","551","False","False",""
"1","1","Aggressive Negotiations","tdm","Near Mint","English","","","2025-10-15 19:13:14.293000","70","False","False",""
"1","1","Ainok Wayfarer","tdm","Near Mint","English","","","2025-11-07 19:41:02.690000","134","False","False",""
"1","1","Airtight Alibi","mkm","Near Mint","English","","","2025-10-25 21:58:07.277000","149","False","False",""
"4","4","Ajani's Pridemate","fdn","Near Mint","English","","","2025-11-06 20:57:18.990000","135","False","False",""
"2","2","Ajani's Pridemate","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","293","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2025-11-06 20:52:10.713000","115","False","False",""
"1","1","Alley Assailant","mkm","Near Mint","English","","","2025-10-25 22:06:23.520000","76","False","False",""
"2","2","Altanak, the Thrice-Called","dsk","Near Mint","English","","","2025-10-31 00:04:43.213000","166","False","False",""
"3","3","Ambush Wolf","fdn","Near Mint","English","","","2025-11-06 20:20:07.900000","98","False","False",""
"1","1","An Offer You Can't Refuse","fdn","Near Mint","English","foil","","2025-11-07 19:50:39.263000","160","False","False",""
"2","2","An Offer You Can't Refuse","fdn","Near Mint","English","","","2025-11-06 16:53:00.947000","160","False","False",""
"1","1","Ancestor Dragon","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","489","False","False",""
"2","2","Angel of Finality","fdn","Near Mint","English","","","2025-11-06 17:23:35.517000","136","False","False",""
